X	ACTION	Y	[FILL] is synonymous with/means	X	ACTION	Y	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
	rest		means		sleep				bc41-0b7c-641f-c419
	returning		is similar to		adding				79a0-cb9c-0aef-f322
	returning		is similar to	bringing					04e9-5287-eb58-61cb
	revolving 	around something	means		orbiting	that something			3dd5-2225-75cc-e350
	riding in; driving in	a vehicle	means		using	that vehicle			39b5-164b-997b-e3fe
	rotate		means		turn				ae29-0f1b-9895-50a5
	rusting		means		forming	rust			e9ad-9585-0a08-5148
	saving	an organism's life	means		preventing	the death of that organism			90a4-4c46-289e-f3e8
	scavenging		is synonymous with		looking for	food			a94e-ad3f-d1d1-e4bf
	search for		means		seek to find				3a4a-a10f-5973-6530
	seeking	something	means		trying to find; searching for	something			88e2-d46b-7846-8a0f
	sensing	a warning	means	receiving	a warning				24f8-b192-2a82-e6d8
	shaking		is similar to		shifting				6c79-d646-1afb-b6d3
	shift		means		move				1a46-dc05-1bd8-5ed7
	sprouting		means		germinating				665a-2d1b-8608-576a
	stay	the same	means		not changing				e2f0-90c4-cd00-c5a7
	staying		means		not changing				0ad2-7d4f-40c4-13c5
	staying warm		means		keeping warm				3a0f-40e0-b6ef-bea4
	stop		means		not move				31e5-9065-c214-1108
	studying		is similar to		investigating				fd8e-2947-11d9-e1d9
	studying		is similar to		observing				a2ff-b2c1-f462-2fdb
	studying	a soil sample	means		studying	the microorganisms in that soil			346c-7060-9ad3-5d93
	survive		means		live				5e5f-d2d7-bb79-193c
	survive		means		live				eb58-30d7-0fc1-e38a
	take	a picture	means		create	a picture			d2cd-1ad7-df53-9b9e
	take away		means		decreasing				9816-ffa6-2260-9fc1
	take in		means		absorb				160e-6da0-3cc4-1b3d
	take in	oxygen	means		get	oxygen into the blood			65bb-ee0e-f67d-f6d9
	take place		means		happen				b238-dbf4-7dce-187d
	taking in	something	means		receiving; absorbing; getting	something			1015-4572-2293-d185
	taking in	something	means		acquiring	that something			336b-8580-1de1-5714
	tearing		means 		ripping				8756-ec9f-0c1b-21c4
	thawing		is similar to		melting				3cb0-21ad-9635-ef5c
	thrust		means		to push	in a given direction			87f9-f56d-8397-3010
	to absorb		means		to capture				cd7c-310b-9fd0-d4d6
	to add		means		to increase				7ef3-7d2a-dd0a-7953
	to advance		means		to improve				6b71-8219-5039-8487
	to bang		means		to hit				6e3f-b470-4e29-ec6f
	to be	in the sun	means		to be	in the sunlight			8939-25ca-fb9c-d790
	to be a combination of		means		to be made of				239a-f2cc-8bbb-223e
	to be dependent	on something	means		to depend	on that something			32b9-45a7-7e74-12c2
	to be destroyed		means		to cease to exist				d6d1-6f75-0a9e-9570
	to be fit	for an environment	means		to be able to survive	in that environment			6639-1b70-5a51-b9a1
	to be formed by		is		to be the result of				d22b-a7bb-0814-9332
	to be found in		means		to be contained in				e57b-18c2-73ff-869b
	to be good for		means		to have a positive impact on				1927-9e8e-915b-3da1
	to be in danger		means		to be around; to be near	something dangerous			bbf9-a92e-0ba3-bfd4
	to be insulated		means		to have insulation				012f-b681-a0e0-376a
	to be made of		is similar to	collection					c681-7a3a-3378-eeea
	to be made of		means		to consist of				c583-9b78-1eab-ae77
	to be required		means		to be necessary				5830-0226-d5ec-1248
	to be used	for something	means		to be required	by that something			1b31-08ba-2a30-8dd0
	to be used 	for something	means		to help to do	that something			679c-fab2-a001-db1e
	to be used for		is similar to		allowing				663d-a91d-53d8-5625
	to belong	to a group	means		to be a kind	of something			643f-7227-2e92-b2b1
	to belong	to a group	means		to be classified	in that group			c354-c737-b73a-6024
	to belong	to a class	means		to be	a kind of something			f5fb-4734-09f4-62e7
	to bounce back		means		to reflect				041b-a683-c7b9-85b4
	to break down		means		to break	into smaller pieces			0610-89d4-acb3-b0dc
	to breathe in		means		to absorb	air			2047-3ee7-a047-0dd9
	to bump		means		to hit				ad5e-a830-efe5-170e
	to carry		means		to transport				73ed-c126-9663-1012
	to carry		means		to move	something			38f7-b1e7-b37e-ef1e
	to cause		means		to result in				f4d3-fd82-31d1-855c
	to cause		means		to make				d24e-3153-b652-ccfa
	to cause	something	means		to contribute to that something happening				29f7-bead-ba29-6a7f
	to cause		means		to have	an effect			7217-ca8f-51fc-7263
	to cause	the formation of	means		to form				b7ab-4872-8563-4b31
	to cause		means		to be responsible for				eb82-cc9b-b653-15f8
	to classify		means		to decide	what class something belongs to			a453-a164-a836-a893
	to collect		means		to gather				ad3c-e23e-4687-db8b
	to conduct		is similar to		to transfer				ac2a-9f55-aeab-2917
	to contain		means		to have inside				34a2-9d5f-692b-4898
	to contribute		means		to add				4bca-7771-01b5-a2f6
	to cool		means		to reduce	heat energy		Moved to CHANGE-VEC	d3bf-5f04-7cc1-5f17
	to create		means		to make				dd64-2412-f733-7659
	to decline		means		to decrease				53ec-933f-7116-dcaf
	to depend on; to rely on; to need		means		to require				e9f8-f0c7-07ec-99de
	to discard		means		to throw away				5f43-c4d3-9043-8b02
	to discover		means		to find				ac4f-0a94-0c33-2df4
	to discover		means		to make	a discovery			01ce-5c8d-152d-6464
	to do	a job	means		to perform	a job			8754-eb6c-1c85-c80a
	to eat		means		to consume	food			1af8-152d-3dd1-798c
	to emit		means		to release				d3de-4860-7a6f-d01d
	to enable		is		to help				e841-9354-e28c-e157
	to enhance		means		to increase				b952-4ad0-732a-7cdd
	to exhale		means		to release				db10-d17e-ddad-d545
	to get a better look at		means		to see better				ae0b-1df7-6167-ecc5
	to get hot		means		become hot				a31e-1af6-3adc-a0b4
	to give off		means		to be the source of				c273-104b-3c47-f637
	to happen		means		to occur				24c1-532c-1322-2dc3
	to have a function		is similar to		to be responsible for				99fc-c23d-a1f5-19a0
	to help		means		to aid				9d82-eb5c-44c1-f10d
	to help; to benefit		means		to be of use				a8e1-376d-a65c-d56c
	to hover		means		to stay in place	in the air			1eef-7771-64a6-1d93
	to hurt		means		to harm				7159-d1fa-5784-4a1e
	to impact		means		to affect				7dc9-24ac-4c93-866e
	to improve		means		to have	a positive impact			3022-b0dc-604d-b0d7
	to inhibit		means		to prevent				83fc-2b11-a88e-56cd
	to keep	a process or event happening	is similar to		causing	that process or event to happen			87fc-9f14-db43-7f99
	to keep something from happening		means		to prevent that something				2a3e-40ec-e187-c0d2
	to last longer		means		to be available longer				7b14-3b1d-7f2e-ae55
	to lift		means		to move up				a650-d8d9-199a-6170
	to limit		means		to decrease				0714-a69b-67e1-fc94
	to lose		means		to have less of				75e9-85f3-cc73-27cf
	to lower		means		to decrease				7b3b-3c56-8e8b-ab1c
	to make		means		to invent				83be-648d-f63f-3270
	to make		means		to form				bed3-1cec-6cf8-d027
	to make	something easier	means		to help				ff68-4699-0671-f8b7
	to match		means		to be	the same			cdff-c958-e7f4-227a
	to observe		means		to gather	information			13d5-3248-93e0-97df
	to pass		means		to occur				50d7-9492-5143-d88b
	to preserve	food	means		to keep	fresh food from spoiling			59a4-b2fa-5937-4f14
	to prevent	the occurence of an event	means		to decrease	the occurence of the event			f557-1bfc-f95b-375d
	to produce		means		to create				c23b-f665-cd04-dafd
	to protect		means		to make safe				578b-10b3-d171-7b7c
	to protect		means		to defend				142e-2fac-bb31-2e5d
	to provide	something	means		to be	the source of that something			acf6-d100-2553-e4ac
	to put on		means		to wear				5a57-e1e0-4c65-262d
	to receive	sunlight	means		to absorb	sunlight			5e35-243f-81ab-5eef
	to remain		means		to not change				e931-7db5-7b7d-6c1a
	to remain		means		to stay the same				bd6d-bd54-cd46-7e74
	to reproduce		means		to have	offspring			5c25-2129-40a6-71ea
	to restore		means		to return	to a better state			8726-c09d-4a3b-e814
	to roam		means		to move	to various locations			3347-b1a5-6757-f53d
	to rotate		means		to complete	a rotation			3681-33ce-b63b-2749
	to round		means		to make more round				3497-0826-74ec-c9cf
	to rub; to rub together		means		to move against				c4a5-564d-59d0-1074
	to run on		means		to use	as an energy source			b320-8125-95c4-8c27
	to scrape		means		to scratch				a5d3-7ecf-1243-bfaf
	to see		means		to look				faab-3e71-cd3d-575c
	to send		means		to transfer				56bc-389e-d138-7308
	to serve as		means		to be used as				9ed4-1adc-4024-73b1
	to shine		means		to emit	light			959c-173d-683c-65a7
	to ship		means		to transport				ea8e-80e0-fecc-1b9f
	to shorten		means		to make shorter				d082-bdb2-b20a-30de
	to show		means		to present				0f65-4fa3-49b1-0794
	to show		means		to display				2597-f6ee-6a92-2ec6
	to slow; to slow down		means		to decrease	in speed		Moved to Change-Vec	2b25-38c6-eff6-e6bc
	to store		means		to hold				0f02-bd0a-c36c-0bbc
	to tell the difference	between things	means		to classify	those things			4448-2467-9571-5878
	to touch		means	to contact					2a06-2a73-ddc5-b6c8
	to transfer		means		to bring; to get something to				e6e9-5116-7ff3-0590
	to transform		means		to convert				539c-ccfe-688f-27f6
	to turn		means		to convert				520b-e7fa-600c-d598
	to turn		means		to change				dfa9-fbe6-0fdf-502c
	to vary		means		to differ				567f-1878-8555-aa7d
	to view		means		to see				3436-66c9-9e0a-3a8b
	to watch		means		to look at				56be-ce78-ec19-1c61
	to work		means		to function				ab06-c1d9-7d2f-2f01
	touching	something	means		feeling	that something			6722-33ad-ff6e-30b3
	towards		means		closer	to something			d455-45e9-2aa5-da1b
	transferring		is similar to		giving				b730-7885-2f2d-d737
	transferring		is similar to		adding				d56e-bff7-b1f5-a8f4
	transferring		is similar to		supplying				0a6f-6cda-f364-a708
	transport		means		to move; to make travel				48be-b112-3323-84b6
	travel		means		to move				f5f4-d4dd-cf26-09d5
	turning		is similar to		changing			DUP. All uses replaced	3f89-cd54-3ef0-2430
	using	less of a resource	means		conserving	that resource			9130-a03b-85d4-9a10
	viewing		means		observing	light			54bb-adb6-1968-eac6
	warm up		means		increase	temperature			f0a6-ff41-4499-55a5
	washing out		means		being moved from 	by water 			0902-751a-e13d-ac41
	to change		means		to have	an effect			e6a3-b433-9d25-fd98
damage			means	harm					e36b-5464-c253-5b04
a baby			is	the offspring of a parent					75d4-1f81-cb21-f793
a property			is similar to	a factor					cbec-3f65-5c06-d9cf
a part of a process			means	a stage in a process					a2f5-52da-5487-7e66
a step in a process			means	a stage in a process					e5d4-2c6c-1ee0-4b0b
